City,AQI,PM2.5/1h,CO/1h,NO/1h,O3/1h,O3/8h,SO2/1h
阿坝州,39,16,20,0.67,6,40,76,7
阿克苏地区,49,14,17,0.6,18,84,97,4
阿拉善盟,95,39,62,0.63,9,127,152,7
阿勒泰地区,39,7,29,0.2,24,58,76,6
阿里地区,70,8,18,0.6,11,112,122,6
安康,68,36,84,0.57,31,40,73,8
安庆,61,30,63,0.6,31,85,112,7
鞍山,101,41,92,1.16,19,155,160,19
安顺,55,38,57,0.5,5,67,64,6
安阳,89,37,95,0.78,28,115,145,15
白城,92,54,131,1.2,83,11,66,14
百色,62,41,72,0.8,10,67,68,9
白山,66,31,79,0.85,28,31,64,12
白银,61,29,70,0.65,46,37,92,7
保定,75,32,79,0.4,45,84,128,18
宝鸡,79,51,106,0.85,53,14,45,6
保山,76,55,59,0.8,19,54,85,5
包头,66,39,79,0.7,35,74,102,14
巴彦淖尔,66,27,53,0.7,20,85,118,6
巴中,52,33,51,0.55,20,43,64,4
北海,53,36,47,1.02,16,78,74,8
北京,89,50,88,0.52,25,111,145,6
蚌埠,61,22,70,0.45,20,110,111,12
本溪,71,23,49,1.18,26,102,124,19
毕节,40,27,39,0.5,10,53,58,5
滨州,104,77,105,1.2,47,93,158,19
博州,40,8,26,0.45,4,78,78,4
亳州,86,29,59,0.6,17,120,141,7
沧州,86,46,88,0.6,19,143,142,23
长春,82,34,112,0.82,48,57,58,7
常德,82,57,112,0.98,45,63,119,7
昌都,59,7,16,0.5,12,96,109,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,45,11,26,0.5,12,65,88,6
长沙,81,56,110,0.84,56,65,108,10
常熟,65,39,77,0.65,48,47,87,19
长治,114,33,80,0.7,20,160,174,10
常州,55,32,57,0.69,48,73,83,10
朝阳,82,37,59,1.18,19,123,137,17
潮州,80,16,68,0.6,10,119,134,9
承德,71,31,79,0.62,42,90,123,9
成都,56,38,60,0.69,25,45,62,4
郴州,59,27,65,0.98,34,17,55,14
赤峰,66,24,58,0.4,24,112,118,14
池州,67,35,82,0.73,69,35,107,5
重庆,53,31,54,0.7,39,33,53,6
崇左,60,42,53,0.85,11,68,82,3
楚雄州,56,38,48,0.6,7,101,105,10
滁州,66,39,80,0.45,38,114,113,9
大连,110,57,110,0.76,30,156,169,11
大理州,48,27,41,0.6,9,86,94,4
丹东,87,64,108,1.2,32,85,115,16
大庆,51,21,50,0.43,14,84,86,6
大同,76,49,99,1.15,78,54,111,21
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,50,35,0,0.35,22,75,95,69
达州,72,43,91,0.62,67,10,47,7
德宏州,55,35,58,1.15,19,21,46,4
德阳,59,35,66,0.53,22,37,54,3
德州,102,42,109,0.63,32,127,161,17
定西,57,29,62,0.4,33,45,90,6
迪庆州,49,16,23,0.4,7,87,96,6
东莞,68,38,83,0.82,39,68,84,9
东营,103,44,103,0.63,87,73,162,11
鄂尔多斯,76,10,29,0.6,13,100,130,7
恩施州,69,36,85,0.65,33,33,72,2
鄂州,74,39,95,1.73,56,67,102,30
防城港,58,40,49,1.2,27,24,38,18
佛山,74,52,96,0.98,58,50,82,5
抚顺,84,40,115,1.12,40,103,128,50
阜新,71,31,75,0.72,22,95,123,33
阜阳,64,29,63,0.47,50,88,115,10
富阳,0,0,0,0.0,0,0,0,0
福州,61,13,41,1.46,23,89,112,4
抚州,71,50,90,0.88,13,81,110,7
甘南州,48,21,43,0.8,13,89,95,3
赣州,64,44,75,1.48,30,30,71,11
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,29,7,11,0.5,12,60,56,18
广安,50,26,49,0.62,23,56,70,7
广元,55,35,58,0.63,30,20,32,13
广州,68,44,84,0.9,69,41,77,7
贵港,38,26,36,0.85,16,48,64,16
桂林,83,61,79,1.2,40,22,56,13
贵阳,64,40,75,0.45,15,63,62,5
果洛州,50,23,0,0.5,13,79,99,19
固原,55,21,58,0.97,47,28,61,10
哈尔滨,65,25,77,0.6,47,63,73,11
海北州,76,30,52,0.7,15,118,129,22
海东地区,49,34,41,0.7,28,75,83,9
海口,52,22,52,0.72,7,100,100,3
海门,48,25,47,0.55,14,82,91,11
海南州,56,31,44,0.8,30,101,106,14
海西州,66,18,37,0.4,13,100,117,8
哈密地区,67,30,81,0.85,53,49,92,3
邯郸,88,34,79,0.53,24,101,144,9
杭州,72,40,92,0.64,65,40,110,9
汉中,76,52,100,0.9,34,21,48,32
鹤壁,89,26,67,0.27,21,129,145,10
河池,59,41,63,0.77,21,25,52,5
合肥,63,26,70,0.58,33,112,114,9
鹤岗,49,20,36,0.48,11,87,96,4
黑河,47,13,35,0.37,4,87,93,5
衡水,88,38,79,0.6,28,118,144,19
衡阳,80,47,107,1.28,55,11,68,11
和田地区,139,66,226,0.25,18,91,96,5
河源,59,33,65,1.0,20,66,85,6
菏泽,84,34,106,0.57,29,115,139,14
贺州,64,44,75,0.45,20,28,50,10
红河州,61,43,50,0.9,8,85,90,8
淮安,80,30,75,0.52,21,120,134,7
淮北,89,30,67,0.37,20,129,145,10
怀化,132,100,170,1.14,38,17,26,8
淮南,66,27,77,0.45,25,113,117,11
黄冈,71,33,89,0.9,36,93,119,1
黄南州,51,29,50,0.7,9,74,76,9
黄山,55,29,58,0.5,30,51,80,14
黄石,71,32,77,1.12,30,107,123,18
呼和浩特,107,56,161,1.1,99,22,97,11
惠州,59,30,66,0.56,27,90,99,6
葫芦岛,106,79,96,0.85,23,152,158,14
呼伦贝尔,54,20,39,0.3,9,86,103,3
湖州,66,45,79,0.67,49,78,87,19
佳木斯,52,22,51,0.3,18,82,97,5
吉安,86,63,117,0.57,23,60,99,38
江门,60,32,67,0.84,31,59,73,7
江阴,67,40,81,0.67,55,66,116,17
胶南,86,19,48,0.8,30,111,141,4
胶州,91,35,69,0.4,31,128,147,6
焦作,89,43,99,0.6,28,120,145,11
嘉兴,57,22,56,0.43,24,93,107,15
嘉峪关,72,24,73,0.75,22,99,125,5
揭阳,77,15,68,0.63,12,117,131,10
吉林,60,31,68,0.66,37,52,76,13
即墨,88,25,65,0.45,23,138,144,7
济南,107,37,95,0.61,34,140,166,14
金昌,72,20,65,0.7,25,92,125,12
晋城,114,32,147,0.6,33,131,174,10
景德镇,75,45,98,0.56,51,13,74,15
荆门,92,60,131,0.78,30,89,115,19
荆州,95,42,138,1.53,110,6,91,15
金华,61,5,38,0.3,29,100,111,5
济宁,100,38,80,0.83,26,116,158,29
金坛,77,19,38,0.85,18,104,131,24
晋中,82,27,62,0.65,31,113,137,14
锦州,86,60,105,0.78,35,126,142,31
九江,73,48,93,0.83,41,81,102,18
酒泉,66,28,74,0.4,17,100,118,7
鸡西,68,40,83,0.85,40,25,51,6
句容,101,13,48,0.8,21,113,160,13
开封,81,39,95,0.56,21,124,136,11
喀什地区,65,30,52,0.43,16,107,116,7
克拉玛依,50,5,20,0.3,2,98,98,3
克州,71,1,77,0.5,1,0,124,6
库尔勒,57,17,61,0.53,24,86,102,5
昆明,52,34,51,0.9,22,78,95,15
昆山,68,31,84,0.7,58,49,82,8
来宾,96,71,105,1.3,23,51,74,16
莱芜,88,65,99,0.67,18,89,77,10
莱西,71,46,82,0.6,28,103,124,7
莱州,93,28,75,0.9,20,148,150,17
廊坊,94,34,83,0.63,27,104,151,9
兰州,62,29,72,0.88,74,29,91,9
拉萨,45,7,19,0.45,17,68,88,5
乐山,35,24,33,0.57,13,91,59,4
凉山州,66,24,45,0.54,19,82,118,9
连云港,69,28,59,0.68,18,123,121,12
聊城,102,41,106,0.6,34,118,161,22
辽阳,91,30,115,1.25,25,138,147,27
辽源,74,53,91,1.1,53,8,75,11
丽江,56,12,26,0.5,6,97,105,6
临安,71,42,89,0.7,54,56,116,6
临沧,55,38,49,0.8,17,36,63,8
临汾,76,55,94,2.38,27,105,116,42
临夏州,51,22,44,0.65,29,61,100,7
临沂,79,46,106,0.55,41,114,127,31
林芝,39,10,7,0.4,6,63,77,7
林芝地区,18,4,16,0.35,6,51,35,3
丽水,66,17,38,0.33,25,81,117,6
六盘水,26,13,25,0.6,18,56,49,7
柳州,97,72,101,1.08,38,24,48,9
溧阳,72,27,63,1.05,21,103,125,9
陇南,47,6,18,0.55,5,82,92,4
龙岩,64,21,63,0.55,29,98,115,14
娄底,80,58,106,0.78,56,39,93,9
六安,57,22,61,0.4,27,74,91,10
漯河,76,37,80,0.6,23,108,130,9
洛阳,89,23,92,0.57,38,102,145,9
泸州,53,36,49,0.4,21,52,68,9
吕梁,80,21,33,0.6,28,105,134,18
马鞍山,91,20,59,0.46,20,126,147,11
茂名,53,36,49,0.88,14,61,59,6
眉山,65,46,64,0.63,31,40,52,6
梅州,63,37,73,0.7,24,113,112,10
绵阳,56,36,59,0.57,24,46,59,4
牡丹江,103,47,154,0.64,45,26,51,14
南昌,100,50,147,0.81,82,19,79,6
南充,66,47,70,0.65,24,66,81,4
南京,84,20,60,0.58,34,105,139,13
南宁,57,37,62,0.88,23,48,63,6
南平,63,14,28,0.57,16,87,114,7
南通,67,38,75,0.46,26,109,119,13
南阳,73,40,89,0.9,32,87,126,5
那曲地区,41,16,18,0.67,6,67,80,5
内江,65,46,63,0.5,22,66,81,5
宁波,63,32,73,0.83,74,39,96,11
宁德,43,22,42,0.5,20,70,79,7
怒江州,94,70,130,1.15,42,30,43,8
盘锦,125,50,62,0.9,11,181,186,10
攀枝花,57,26,61,0.6,12,98,104,8
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,71,37,76,0.6,31,85,123,14
平度,90,40,80,0.8,24,120,146,15
平凉,57,27,62,0.8,48,19,45,9
萍乡,80,56,108,1.63,33,90,133,37
普洱,56,38,60,0.4,24,50,88,6
莆田,65,8,20,0.24,17,104,116,5
濮阳,76,38,98,0.67,25,107,129,12
黔东南州,56,36,59,0.85,25,36,41,97
黔南州,56,26,59,0.5,8,30,42,4
黔西南州,28,6,13,0.2,5,55,55,3
青岛,86,34,65,0.49,21,141,141,6
庆阳,44,23,32,0.77,10,76,87,6
清远,57,39,62,1.0,50,22,56,7
秦皇岛,104,58,98,1.0,35,129,163,19
钦州,49,34,47,0.93,14,36,51,9
齐齐哈尔,68,22,84,0.88,23,72,83,9
七台河,58,29,64,0.53,31,49,70,4
泉州,56,16,41,0.45,40,64,105,9
曲靖,42,27,41,1.35,19,35,78,11
衢州,54,19,47,0.47,28,75,103,10
日喀则,65,9,20,0.35,3,110,116,1
日喀则地区,29,6,27,0.35,2,68,56,5
日照,86,33,94,0.3,33,134,142,6
荣成,128,44,59,1.0,16,154,189,11
乳山,125,25,56,0.8,16,153,186,7
三门峡,74,37,64,0.65,24,79,127,5
三明,50,8,36,0.83,24,86,98,7
三沙,30,7,20,0.3,30,51,58,6
三亚,58,17,27,0.65,6,102,108,2
上海,66,36,80,0.79,91,46,91,6
商洛,47,30,46,0.7,22,35,73,4
商丘,210,159,165,1.3,46,64,80,11
上饶,69,28,69,0.38,24,88,121,11
山南,44,21,13,0.25,6,78,86,3
山南地区,40,5,21,0.45,6,65,79,4
汕头,78,9,38,0.42,14,114,132,8
汕尾,81,17,55,0.47,7,134,136,8
韶关,47,26,46,0.92,24,27,52,6
绍兴,70,20,88,0.52,29,88,94,8
邵阳,65,43,77,0.78,38,27,73,11
沈阳,89,35,88,1.01,17,134,145,19
深圳,56,21,43,0.54,13,112,105,4
石河子,45,13,20,0.45,8,82,89,8
石家庄,78,36,86,0.59,34,94,132,22
十堰,66,43,74,0.83,21,92,118,9
石嘴山,58,23,63,0.7,26,68,107,15
寿光,81,58,87,0.7,24,104,135,12
双鸭山,45,20,43,0.7,10,85,89,3
朔州,78,28,71,0.68,28,114,132,17
四平,71,33,90,1.05,31,104,107,13
松原,70,27,88,0.6,29,56,80,4
绥化,65,25,77,0.35,23,91,99,16
遂宁,61,43,67,0.53,27,50,82,10
随州,116,38,85,0.8,34,109,176,9
宿迁,65,46,75,0.84,47,77,113,17
苏州,56,23,60,0.4,44,79,104,6
宿州,77,35,76,0.4,12,107,131,29
塔城地区,27,3,6,1.0,7,50,53,3
泰安,89,39,107,0.57,30,105,145,24
太仓,66,39,80,0.6,74,38,77,5
太原,91,49,129,0.73,80,57,104,13
台州,66,19,79,0.43,55,37,85,5
泰州,68,41,82,1.1,38,73,120,16
唐山,86,38,103,0.68,31,129,142,12
天津,75,53,98,0.92,32,122,112,18
天水,38,14,34,0.4,27,46,75,7
铁岭,76,44,100,1.0,30,126,128,13
铜川,45,31,35,0.53,37,25,54,8
通化,77,33,101,0.75,51,12,34,5
通辽,59,30,66,0.57,30,81,66,22
铜陵,61,34,70,0.42,52,72,92,7
铜仁地区,75,38,98,0.75,34,5,9,7
吐鲁番地区,108,76,163,1.4,67,34,93,6
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,87,32,93,0.42,24,112,143,11
威海,92,34,67,0.4,14,152,149,4
渭南,59,39,66,0.5,55,22,72,5
文登,115,31,54,0.8,16,164,175,8
文山州,38,13,11,0.6,8,69,74,4
温州,69,29,86,0.7,84,8,71,12
乌海,109,51,165,1.43,66,43,100,150
武汉,83,48,114,1.02,64,70,119,13
芜湖,82,24,67,0.48,37,107,137,10
吴江,65,29,72,0.8,39,88,116,8
五家渠,83,14,114,0.6,8,87,96,5
乌兰察布,107,34,52,0.45,24,133,166,20
乌鲁木齐,47,16,44,0.59,19,68,92,4
武威,63,36,73,0.65,67,35,99,5
无锡,60,24,68,0.56,58,66,107,8
吴忠,52,14,22,0.77,23,58,101,9
梧州,51,32,50,1.08,32,9,21,12
厦门,57,12,40,0.25,22,80,107,8
西安,66,45,80,0.79,56,29,64,5
湘潭,79,53,105,0.84,55,57,94,14
湘西州,52,24,52,0.43,12,20,45,6
襄阳,85,54,106,0.73,23,112,140,18
咸宁,82,39,94,0.65,25,97,137,7
咸阳,59,40,66,0.82,40,52,70,8
孝感,83,42,91,0.7,30,89,138,8
锡林郭勒盟,57,9,35,0.1,10,97,107,5
兴安盟,83,41,113,0.87,57,4,63,6
邢台,77,36,101,0.83,46,91,126,21
西宁,57,15,27,0.78,20,102,107,8
新乡,91,32,76,0.57,35,109,147,16
信阳,72,39,79,0.6,52,55,125,5
新余,68,39,84,0.63,22,78,102,22
忻州,73,35,93,0.93,77,59,123,32
西双版纳州,98,73,125,0.95,30,52,80,11
宣城,65,30,73,0.47,31,98,116,7
许昌,74,35,69,0.77,41,81,127,37
徐州,86,36,87,0.44,23,135,142,10
雅安,41,23,40,0.63,13,69,62,9
延安,57,32,61,0.95,30,32,67,4
延边州,37,17,34,0.6,17,44,72,4
盐城,76,33,69,0.6,23,120,129,7
阳江,89,66,0,0.9,28,50,49,11
阳泉,91,37,80,1.02,67,67,147,19
扬州,81,43,109,0.6,56,52,94,14
烟台,86,36,81,0.3,37,106,142,6
宜宾,103,76,84,0.88,26,52,64,8
宜昌,78,55,103,0.68,41,54,107,8
宜春,73,50,93,0.77,33,68,103,17
伊春,40,20,32,0.37,12,59,79,4
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,31,13,28,0.6,25,42,61,7
银川,52,25,52,0.54,21,70,87,18
营口,130,31,61,0.43,17,170,191,7
鹰潭,67,45,81,0.4,25,73,118,30
义乌,66,10,42,0.45,28,104,118,10
宜兴,50,23,40,0.45,26,72,98,14
益阳,93,69,127,1.5,50,47,105,5
永州,56,39,60,0.54,29,44,71,11
岳阳,88,52,123,1.1,57,58,121,14
玉林,48,31,47,0.9,33,25,46,19
榆林,56,24,59,0.96,58,30,59,17
运城,63,39,63,1.4,17,90,114,4
云浮,56,39,60,1.13,40,12,29,6
玉树州,64,15,76,0.6,31,43,84,9
玉溪,61,39,63,0.67,17,90,112,9
枣庄,81,36,110,0.7,33,130,134,18
张家港,65,41,77,0.8,45,56,96,16
张家界,63,27,74,0.75,20,71,93,4
张家口,105,50,107,1.13,26,139,164,15
章丘,81,43,110,0.5,51,94,124,19
张掖,66,27,56,0.25,16,103,117,10
漳州,60,24,67,0.4,33,70,107,23
湛江,59,41,47,0.77,9,90,89,4
肇庆,96,71,98,1.0,57,47,52,12
昭通,38,16,32,0.6,15,75,74,4
招远,0,0,0,0.0,0,0,0,0
郑州,75,36,97,0.62,46,88,128,18
镇江,81,38,69,0.63,52,75,135,21
中山,50,24,49,0.63,23,60,91,3
中卫,66,28,58,0.43,34,80,118,5
周口,81,51,110,0.7,35,86,126,17
舟山,55,22,57,0.6,25,82,84,5
珠海,50,26,49,0.7,31,59,86,3
诸暨,52,18,41,0.4,34,47,101,4
驻马店,71,36,75,0.43,26,106,124,20
株洲,96,71,121,1.07,60,38,77,13
淄博,96,31,78,0.57,30,136,154,16
自贡,111,83,106,0.83,29,48,75,6
资阳,76,55,72,0.62,19,54,77,5
遵义,40,20,39,0.57,25,51,63,6
